
rp OLSR, nn 30, random seed 29, Received: 374 | Sent: 5980 | Dropped: 5606, PLR: 93.745819%
rp OLSR, nn 30, random seed 30, Received: 463 | Sent: 5980 | Dropped: 5517, PLR: 92.257525%
rp OLSR, nn 40, random seed 1, Received: 862 | Sent: 5980 | Dropped: 5118, PLR: 85.585284%
rp OLSR, nn 40, random seed 2, Received: 870 | Sent: 5980 | Dropped: 5110, PLR: 85.451505%
rp OLSR, nn 40, random seed 3, Received: 1083 | Sent: 5980 | Dropped: 4897, PLR: 81.889632%
rp OLSR, nn 40, random seed 4, Received: 1087 | Sent: 5980 | Dropped: 4893, PLR: 81.822742%
rp OLSR, nn 40, random seed 5, Received: 1041 | Sent: 5980 | Dropped: 4939, PLR: 82.591973%
rp OLSR, nn 40, random seed 6, Received: 950 | Sent: 5980 | Dropped: 5030, PLR: 84.113712%
rp OLSR, nn 40, random seed 7, Received: 922 | Sent: 5980 | Dropped: 5058, PLR: 84.581940%
rp OLSR, nn 40, random seed 8, Received: 1202 | Sent: 5980 | Dropped: 4778, PLR: 79.899666%
rp OLSR, nn 40, random seed 9, Received: 827 | Sent: 5980 | Dropped: 5153, PLR: 86.170569%
rp OLSR, nn 40, random seed 10, Received: 912 | Sent: 5980 | Dropped: 5068, PLR: 84.749164%
rp OLSR, nn 40, random seed 11, Received: 936 | Sent: 5980 | Dropped: 5044, PLR: 84.347826%
rp OLSR, nn 40, random seed 12, Received: 1224 | Sent: 5980 | Dropped: 4756, PLR: 79.531773%
rp OLSR, nn 40, random seed 13, Received: 933 | Sent: 5980 | Dropped: 5047, PLR: 84.397993%
rp OLSR, nn 40, random seed 14, Received: 1218 | Sent: 5980 | Dropped: 4762, PLR: 79.632107%
rp OLSR, nn 40, random seed 15, Received: 721 | Sent: 5980 | Dropped: 5259, PLR: 87.943144%
rp OLSR, nn 40, random seed 16, Received: 1021 | Sent: 5980 | Dropped: 4959, PLR: 82.926421%
rp OLSR, nn 40, random seed 17, Received: 745 | Sent: 5980 | Dropped: 5235, PLR: 87.541806%
rp OLSR, nn 40, random seed 18, Received: 732 | Sent: 5980 | Dropped: 5248, PLR: 87.759197%
rp OLSR, nn 40, random seed 19, Received: 605 | Sent: 5980 | Dropped: 5375, PLR: 89.882943%
rp OLSR, nn 40, random seed 20, Received: 826 | Sent: 5980 | Dropped: 5154, PLR: 86.187291%
rp OLSR, nn 40, random seed 21, Received: 780 | Sent: 5980 | Dropped: 5200, PLR: 86.956522%
rp OLSR, nn 40, random seed 22, Received: 578 | Sent: 5980 | Dropped: 5402, PLR: 90.334448%
rp OLSR, nn 40, random seed 23, Received: 827 | Sent: 5980 | Dropped: 5153, PLR: 86.170569%
rp OLSR, nn 40, random seed 24, Received: 670 | Sent: 5980 | Dropped: 5310, PLR: 88.795987%
rp OLSR, nn 40, random seed 25, Received: 658 | Sent: 5980 | Dropped: 5322, PLR: 88.996656%
rp OLSR, nn 40, random seed 26, Received: 1260 | Sent: 5980 | Dropped: 4720, PLR: 78.929766%
rp OLSR, nn 40, random seed 27, Received: 1034 | Sent: 5980 | Dropped: 4946, PLR: 82.709030%
rp OLSR, nn 40, random seed 28, Received: 702 | Sent: 5980 | Dropped: 5278, PLR: 88.260870%
rp OLSR, nn 40, random seed 29, Received: 1416 | Sent: 5980 | Dropped: 4564, PLR: 76.321070%
rp OLSR, nn 40, random seed 30, Received: 1039 | Sent: 5980 | Dropped: 4941, PLR: 82.625418%
rp OLSR, nn 50, random seed 1, Received: 634 | Sent: 5980 | Dropped: 5346, PLR: 89.397993%
rp OLSR, nn 50, random seed 2, Received: 651 | Sent: 5980 | Dropped: 5329, PLR: 89.113712%
rp OLSR, nn 50, random seed 3, Received: 632 | Sent: 5980 | Dropped: 5348, PLR: 89.431438%
rp OLSR, nn 50, random seed 4, Received: 804 | Sent: 5980 | Dropped: 5176, PLR: 86.555184%
rp OLSR, nn 50, random seed 5, Received: 492 | Sent: 5980 | Dropped: 5488, PLR: 91.772575%
rp OLSR, nn 50, random seed 6, Received: 637 | Sent: 5980 | Dropped: 5343, PLR: 89.347826%
rp OLSR, nn 50, random seed 7, Received: 425 | Sent: 5980 | Dropped: 5555, PLR: 92.892977%
rp OLSR, nn 50, random seed 8, Received: 431 | Sent: 5980 | Dropped: 5549, PLR: 92.792642%
rp OLSR, nn 50, random seed 9, Received: 587 | Sent: 5980 | Dropped: 5393, PLR: 90.183946%
rp OLSR, nn 50, random seed 10, Received: 505 | Sent: 5980 | Dropped: 5475, PLR: 91.555184%
rp OLSR, nn 50, random seed 11, Received: 594 | Sent: 5980 | Dropped: 5386, PLR: 90.066890%
rp OLSR, nn 50, random seed 12, Received: 416 | Sent: 5980 | Dropped: 5564, PLR: 93.043478%
